-------------------------------
T_j^H 	 T_j^L 	 CC_i'
60 	 63 	 914
61 	 63 	 914
10 	 64 	 709
11 	 64 	 729
12 	 64 	 749
13 	 64 	 764
14 	 64 	 780
15 	 64 	 789
16 	 64 	 799
17 	 64 	 809
18 	 64 	 820
19 	 64 	 824
20 	 64 	 834
21 	 64 	 840
22 	 64 	 844
23 	 64 	 850
24 	 64 	 854
25 	 64 	 860
26 	 64 	 860
27 	 64 	 864
28 	 64 	 870
29 	 64 	 870
30 	 64 	 874
31 	 64 	 874
32 	 64 	 879
33 	 64 	 879
34 	 64 	 885
35 	 64 	 885
36 	 64 	 889
37 	 64 	 889
38 	 64 	 889
39 	 64 	 895
40 	 64 	 895
41 	 64 	 895
42 	 64 	 899
43 	 64 	 899
44 	 64 	 899
45 	 64 	 899
46 	 64 	 905
47 	 64 	 905
48 	 64 	 905
49 	 64 	 905
50 	 64 	 910
51 	 64 	 910
52 	 64 	 910
53 	 64 	 910
54 	 64 	 910
55 	 64 	 910
56 	 64 	 914
57 	 64 	 914
58 	 64 	 914
59 	 64 	 914
60 	 64 	 914
61 	 64 	 914
62 	 64 	 914
10 	 65 	 709
11 	 65 	 729
12 	 65 	 749
13 	 65 	 764
14 	 65 	 780
15 	 65 	 789
16 	 65 	 799
17 	 65 	 809
18 	 65 	 820
19 	 65 	 824
20 	 65 	 834
21 	 65 	 840
22 	 65 	 844
23 	 65 	 850
24 	 65 	 854
25 	 65 	 860
26 	 65 	 860
27 	 65 	 864
28 	 65 	 870
29 	 65 	 870
30 	 65 	 874
31 	 65 	 874
32 	 65 	 879
33 	 65 	 879
34 	 65 	 885
35 	 65 	 885
36 	 65 	 889
37 	 65 	 889
38 	 65 	 889
39 	 65 	 895
40 	 65 	 895
41 	 65 	 895
42 	 65 	 899
43 	 65 	 899
44 	 65 	 899
45 	 65 	 899
46 	 65 	 905
47 	 65 	 905
48 	 65 	 905
49 	 65 	 905
50 	 65 	 910
51 	 65 	 910
52 	 65 	 910
53 	 65 	 910
54 	 65 	 910
55 	 65 	 910
56 	 65 	 914
57 	 65 	 914
58 	 65 	 914
59 	 65 	 914
60 	 65 	 914
61 	 65 	 914
62 	 65 	 914
63 	 65 	 920
10 	 66 	 709
11 	 66 	 729
12 	 66 	 749
13 	 66 	 764
14 	 66 	 780
15 	 66 	 789
16 	 66 	 799
17 	 66 	 809
18 	 66 	 820
19 	 66 	 824
20 	 66 	 834
21 	 66 	 840
22 	 66 	 844
23 	 66 	 850
24 	 66 	 854
25 	 66 	 860
26 	 66 	 860
27 	 66 	 864
28 	 66 	 870
29 	 66 	 870
30 	 66 	 874
31 	 66 	 874
32 	 66 	 879
33 	 66 	 879
34 	 66 	 885
35 	 66 	 885
36 	 66 	 889
37 	 66 	 889
38 	 66 	 889
39 	 66 	 895
40 	 66 	 895
41 	 66 	 895
42 	 66 	 899
43 	 66 	 899
44 	 66 	 899
45 	 66 	 899
46 	 66 	 905
47 	 66 	 905
48 	 66 	 905
49 	 66 	 905
50 	 66 	 910
51 	 66 	 910
52 	 66 	 910
53 	 66 	 910
54 	 66 	 910
55 	 66 	 910
56 	 66 	 914
57 	 66 	 914
58 	 66 	 914
59 	 66 	 914
60 	 66 	 914
61 	 66 	 914
62 	 66 	 914
63 	 66 	 920
64 	 66 	 920
10 	 67 	 709
11 	 67 	 729
12 	 67 	 749
13 	 67 	 764
14 	 67 	 780
15 	 67 	 789
16 	 67 	 799
17 	 67 	 809
18 	 67 	 820
19 	 67 	 824
20 	 67 	 834
21 	 67 	 840
22 	 67 	 844
23 	 67 	 850
24 	 67 	 854
25 	 67 	 860
26 	 67 	 860
27 	 67 	 864
28 	 67 	 870
29 	 67 	 870
30 	 67 	 874
31 	 67 	 874
32 	 67 	 879
33 	 67 	 879
34 	 67 	 885
35 	 67 	 885
36 	 67 	 889
37 	 67 	 889
38 	 67 	 889
39 	 67 	 895
40 	 67 	 895
41 	 67 	 895
42 	 67 	 899
43 	 67 	 899
44 	 67 	 899
45 	 67 	 899
46 	 67 	 905
47 	 67 	 905
48 	 67 	 905
49 	 67 	 905
50 	 67 	 910
51 	 67 	 910
52 	 67 	 910
53 	 67 	 910
54 	 67 	 910
55 	 67 	 910
56 	 67 	 914
57 	 67 	 914
58 	 67 	 914
59 	 67 	 914
60 	 67 	 914
61 	 67 	 914
62 	 67 	 914
63 	 67 	 920
64 	 67 	 920
65 	 67 	 920
10 	 68 	 709
11 	 68 	 729
12 	 68 	 749
13 	 68 	 764
14 	 68 	 780
15 	 68 	 789
16 	 68 	 799
17 	 68 	 809
18 	 68 	 820
19 	 68 	 824
20 	 68 	 834
21 	 68 	 840
22 	 68 	 844
23 	 68 	 850
24 	 68 	 854
25 	 68 	 860
26 	 68 	 860
27 	 68 	 864
28 	 68 	 870
29 	 68 	 870
30 	 68 	 874
31 	 68 	 874
32 	 68 	 879
33 	 68 	 879
34 	 68 	 885
35 	 68 	 885
36 	 68 	 889
37 	 68 	 889
38 	 68 	 889
39 	 68 	 895
40 	 68 	 895
41 	 68 	 895
42 	 68 	 899
43 	 68 	 899
44 	 68 	 899
45 	 68 	 899
46 	 68 	 905
47 	 68 	 905
48 	 68 	 905
49 	 68 	 905
50 	 68 	 910
51 	 68 	 910
52 	 68 	 910
53 	 68 	 910
54 	 68 	 910
55 	 68 	 910
56 	 68 	 914
57 	 68 	 914
58 	 68 	 914
59 	 68 	 914
60 	 68 	 914
61 	 68 	 914
62 	 68 	 914
63 	 68 	 920
64 	 68 	 920
65 	 68 	 920
66 	 68 	 920
10 	 69 	 709
11 	 69 	 729
12 	 69 	 749
13 	 69 	 764
14 	 69 	 780
15 	 69 	 789
16 	 69 	 799
17 	 69 	 809
18 	 69 	 820
19 	 69 	 824
20 	 69 	 834
21 	 69 	 840
22 	 69 	 844
23 	 69 	 850
24 	 69 	 854
25 	 69 	 860
26 	 69 	 860
27 	 69 	 864
28 	 69 	 870
29 	 69 	 870
30 	 69 	 874
31 	 69 	 874
32 	 69 	 879
33 	 69 	 879
34 	 69 	 885
35 	 69 	 885
36 	 69 	 889
37 	 69 	 889
38 	 69 	 889
39 	 69 	 895
40 	 69 	 895
41 	 69 	 895
42 	 69 	 899
43 	 69 	 899
44 	 69 	 899
45 	 69 	 899
46 	 69 	 905
47 	 69 	 905
48 	 69 	 905
49 	 69 	 905
50 	 69 	 910
51 	 69 	 910
52 	 69 	 910
53 	 69 	 910
54 	 69 	 910
55 	 69 	 910
56 	 69 	 914
57 	 69 	 914
58 	 69 	 914
59 	 69 	 914
60 	 69 	 914
61 	 69 	 914
62 	 69 	 914
63 	 69 	 920
64 	 69 	 920
65 	 69 	 920
66 	 69 	 920
67 	 69 	 920
10 	 70 	 709
11 	 70 	 729
12 	 70 	 749
13 	 70 	 764
14 	 70 	 780
15 	 70 	 789
16 	 70 	 799
17 	 70 	 809
18 	 70 	 820
19 	 70 	 824
20 	 70 	 834
21 	 70 	 840
22 	 70 	 844
23 	 70 	 850
24 	 70 	 854
25 	 70 	 860
26 	 70 	 860
27 	 70 	 864
28 	 70 	 870
29 	 70 	 870
30 	 70 	 874
31 	 70 	 874
32 	 70 	 879
33 	 70 	 879
34 	 70 	 885
35 	 70 	 885
36 	 70 	 889
37 	 70 	 889
38 	 70 	 889
39 	 70 	 895
40 	 70 	 895
41 	 70 	 895
42 	 70 	 899
43 	 70 	 899
44 	 70 	 899
45 	 70 	 899
46 	 70 	 905
47 	 70 	 905
48 	 70 	 905
49 	 70 	 905
50 	 70 	 910
51 	 70 	 910
52 	 70 	 910
53 	 70 	 910
54 	 70 	 910
55 	 70 	 910
56 	 70 	 914
57 	 70 	 914
58 	 70 	 914
59 	 70 	 914
60 	 70 	 914
61 	 70 	 914
62 	 70 	 914
63 	 70 	 920
64 	 70 	 920
65 	 70 	 920
66 	 70 	 920
67 	 70 	 920
68 	 70 	 920
10 	 71 	 711
11 	 71 	 731
12 	 71 	 752
13 	 71 	 766
14 	 71 	 782
15 	 71 	 791
16 	 71 	 801
17 	 71 	 809
18 	 71 	 820
19 	 71 	 824
20 	 71 	 834
21 	 71 	 840
22 	 71 	 846
23 	 71 	 850
24 	 71 	 856
25 	 71 	 860
26 	 71 	 860
27 	 71 	 866
28 	 71 	 872
29 	 71 	 872
30 	 71 	 877
31 	 71 	 877
32 	 71 	 881
33 	 71 	 881
34 	 71 	 887
35 	 71 	 887
36 	 71 	 891
37 	 71 	 891
38 	 71 	 891
39 	 71 	 897
40 	 71 	 897
41 	 71 	 897
42 	 71 	 899
43 	 71 	 899
44 	 71 	 899
45 	 71 	 899
46 	 71 	 905
47 	 71 	 905
48 	 71 	 905
49 	 71 	 905
50 	 71 	 910
51 	 71 	 910
52 	 71 	 910
53 	 71 	 910
54 	 71 	 910
55 	 71 	 910
56 	 71 	 914
57 	 71 	 914
58 	 71 	 914
59 	 71 	 914
60 	 71 	 914
61 	 71 	 914
62 	 71 	 914
63 	 71 	 920
64 	 71 	 920
65 	 71 	 920
66 	 71 	 920
67 	 71 	 920
68 	 71 	 920
69 	 71 	 920
10 	 72 	 715
11 	 72 	 735
12 	 72 	 754
13 	 72 	 770
14 	 72 	 785
15 	 72 	 795
16 	 72 	 805
17 	 72 	 814
18 	 72 	 824
19 	 72 	 830
20 	 72 	 840
21 	 72 	 844
22 	 72 	 850
23 	 72 	 854
24 	 72 	 860
25 	 72 	 864
26 	 72 	 864
27 	 72 	 870
28 	 72 	 874
29 	 72 	 874
30 	 72 	 879
31 	 72 	 879
32 	 72 	 885
33 	 72 	 885
34 	 72 	 889
35 	 72 	 889
36 	 72 	 895
37 	 72 	 895
38 	 72 	 895
39 	 72 	 899
40 	 72 	 899
41 	 72 	 899
42 	 72 	 905
43 	 72 	 905
44 	 72 	 905
45 	 72 	 905
46 	 72 	 910
47 	 72 	 910
48 	 72 	 910
49 	 72 	 910
50 	 72 	 914
51 	 72 	 914
52 	 72 	 914
53 	 72 	 914
54 	 72 	 914
55 	 72 	 914
56 	 72 	 920
57 	 72 	 920
58 	 72 	 920
59 	 72 	 920
60 	 72 	 920
61 	 72 	 920
62 	 72 	 920
63 	 72 	 924
64 	 72 	 924
65 	 72 	 924
66 	 72 	 924
67 	 72 	 924
68 	 72 	 924
69 	 72 	 924
70 	 72 	 924
10 	 73 	 715
11 	 73 	 735
12 	 73 	 754
13 	 73 	 770
14 	 73 	 785
15 	 73 	 795
16 	 73 	 805
17 	 73 	 814
18 	 73 	 824
19 	 73 	 830
20 	 73 	 840
21 	 73 	 844
22 	 73 	 850
23 	 73 	 854
24 	 73 	 860
25 	 73 	 864
26 	 73 	 864
27 	 73 	 870
28 	 73 	 874
29 	 73 	 874
30 	 73 	 879
31 	 73 	 879
32 	 73 	 885
33 	 73 	 885
34 	 73 	 889
35 	 73 	 889
36 	 73 	 895
37 	 73 	 895
38 	 73 	 895
39 	 73 	 899
40 	 73 	 899
41 	 73 	 899
42 	 73 	 905
43 	 73 	 905
44 	 73 	 905
45 	 73 	 905
46 	 73 	 910
47 	 73 	 910
48 	 73 	 910
49 	 73 	 910
50 	 73 	 914
51 	 73 	 914
52 	 73 	 914
53 	 73 	 914
54 	 73 	 914
55 	 73 	 914
56 	 73 	 920
57 	 73 	 920
58 	 73 	 920
59 	 73 	 920
60 	 73 	 920
61 	 73 	 920
62 	 73 	 920
63 	 73 	 924
64 	 73 	 924
65 	 73 	 924
66 	 73 	 924
67 	 73 	 924
68 	 73 	 924
69 	 73 	 924
70 	 73 	 924
71 	 73 	 924
10 	 74 	 715
11 	 74 	 735
12 	 74 	 754
13 	 74 	 770
14 	 74 	 785
15 	 74 	 795
16 	 74 	 805
17 	 74 	 814
18 	 74 	 824
19 	 74 	 830
20 	 74 	 840
21 	 74 	 844
22 	 74 	 850
23 	 74 	 854
24 	 74 	 860
25 	 74 	 864
26 	 74 	 864
27 	 74 	 870
28 	 74 	 874
29 	 74 	 874
30 	 74 	 879
31 	 74 	 879
32 	 74 	 885
33 	 74 	 885
34 	 74 	 889
35 	 74 	 889
36 	 74 	 895
37 	 74 	 895
38 	 74 	 895
39 	 74 	 899
40 	 74 	 899
41 	 74 	 899
42 	 74 	 905
43 	 74 	 905
44 	 74 	 905
45 	 74 	 905
46 	 74 	 910
47 	 74 	 910
48 	 74 	 910
49 	 74 	 910
50 	 74 	 914
51 	 74 	 914
52 	 74 	 914
53 	 74 	 914
54 	 74 	 914
55 	 74 	 914
56 	 74 	 920
57 	 74 	 920
58 	 74 	 920
59 	 74 	 920
60 	 74 	 920
61 	 74 	 920
62 	 74 	 920
63 	 74 	 924
64 	 74 	 924
65 	 74 	 924
66 	 74 	 924
67 	 74 	 924
68 	 74 	 924
69 	 74 	 924
70 	 74 	 924
71 	 74 	 924
72 	 74 	 930
10 	 75 	 715
11 	 75 	 735
12 	 75 	 754
13 	 75 	 770
14 	 75 	 785
15 	 75 	 795
16 	 75 	 805
17 	 75 	 814
18 	 75 	 824
19 	 75 	 830
20 	 75 	 840
21 	 75 	 844
22 	 75 	 850
23 	 75 	 854
24 	 75 	 860
25 	 75 	 864
26 	 75 	 864
27 	 75 	 870
28 	 75 	 874
29 	 75 	 874
30 	 75 	 879
31 	 75 	 879
32 	 75 	 885
33 	 75 	 885
34 	 75 	 889
35 	 75 	 889
36 	 75 	 895
37 	 75 	 895
38 	 75 	 895
39 	 75 	 899
40 	 75 	 899
41 	 75 	 899
42 	 75 	 905
43 	 75 	 905
44 	 75 	 905
45 	 75 	 905
46 	 75 	 910
47 	 75 	 910
48 	 75 	 910
49 	 75 	 910
50 	 75 	 914
51 	 75 	 914
52 	 75 	 914
53 	 75 	 914
54 	 75 	 914
55 	 75 	 914
56 	 75 	 920
57 	 75 	 920
58 	 75 	 920
59 	 75 	 920
60 	 75 	 920
61 	 75 	 920
62 	 75 	 920
63 	 75 	 924
64 	 75 	 924
65 	 75 	 924
66 	 75 	 924
67 	 75 	 924
68 	 75 	 924
69 	 75 	 924
70 	 75 	 924
71 	 75 	 924
72 	 75 	 930
73 	 75 	 930
10 	 76 	 715
11 	 76 	 735
12 	 76 	 754
13 	 76 	 770
14 	 76 	 785
15 	 76 	 795
16 	 76 	 805
17 	 76 	 814
18 	 76 	 824
19 	 76 	 830
20 	 76 	 840
21 	 76 	 844
22 	 76 	 850
23 	 76 	 854
24 	 76 	 860
25 	 76 	 864
26 	 76 	 864
27 	 76 	 870
28 	 76 	 874
29 	 76 	 874
30 	 76 	 879
31 	 76 	 879
32 	 76 	 885
33 	 76 	 885
34 	 76 	 889
35 	 76 	 889
36 	 76 	 895
37 	 76 	 895
38 	 76 	 895
39 	 76 	 899
40 	 76 	 899
41 	 76 	 899
42 	 76 	 905
43 	 76 	 905
44 	 76 	 905
45 	 76 	 905
46 	 76 	 910
47 	 76 	 910
48 	 76 	 910
49 	 76 	 910
50 	 76 	 914
51 	 76 	 914
52 	 76 	 914
53 	 76 	 914
54 	 76 	 914
55 	 76 	 914
56 	 76 	 920
57 	 76 	 920
58 	 76 	 920
59 	 76 	 920
60 	 76 	 920
61 	 76 	 920
62 	 76 	 920
63 	 76 	 924
64 	 76 	 924
65 	 76 	 924
66 	 76 	 924
67 	 76 	 924
68 	 76 	 924
69 	 76 	 924
70 	 76 	 924
71 	 76 	 924
72 	 76 	 930
73 	 76 	 930
74 	 76 	 930
10 	 77 	 715
11 	 77 	 735
12 	 77 	 754
13 	 77 	 770
14 	 77 	 785
15 	 77 	 795
16 	 77 	 805
17 	 77 	 814
18 	 77 	 824
19 	 77 	 830
20 	 77 	 840
21 	 77 	 844
22 	 77 	 850
23 	 77 	 854
24 	 77 	 860
25 	 77 	 864
26 	 77 	 864
27 	 77 	 870
28 	 77 	 874
29 	 77 	 874
30 	 77 	 879
31 	 77 	 879
32 	 77 	 885
33 	 77 	 885
34 	 77 	 889
35 	 77 	 889
36 	 77 	 895
37 	 77 	 895
38 	 77 	 895
39 	 77 	 899
40 	 77 	 899
41 	 77 	 899
42 	 77 	 905
43 	 77 	 905
44 	 77 	 905
45 	 77 	 905
46 	 77 	 910
47 	 77 	 910
48 	 77 	 910
49 	 77 	 910
50 	 77 	 914
51 	 77 	 914
52 	 77 	 914
53 	 77 	 914
54 	 77 	 914
55 	 77 	 914
56 	 77 	 920
57 	 77 	 920
58 	 77 	 920
59 	 77 	 920
60 	 77 	 920
61 	 77 	 920
62 	 77 	 920
63 	 77 	 924
64 	 77 	 924
65 	 77 	 924
66 	 77 	 924
67 	 77 	 924
68 	 77 	 924
69 	 77 	 924
70 	 77 	 924
71 	 77 	 924
72 	 77 	 930
73 	 77 	 930
74 	 77 	 930
75 	 77 	 930
10 	 78 	 715
11 	 78 	 735
12 	 78 	 754
13 	 78 	 770
14 	 78 	 785
15 	 78 	 795
16 	 78 	 805
17 	 78 	 814
18 	 78 	 824
19 	 78 	 830
20 	 78 	 840
21 	 78 	 844
22 	 78 	 850
23 	 78 	 854
24 	 78 	 860
25 	 78 	 864
26 	 78 	 864
27 	 78 	 870
28 	 78 	 874
29 	 78 	 874
30 	 78 	 879
31 	 78 	 879
32 	 78 	 885
33 	 78 	 885
34 	 78 	 889
35 	 78 	 889
36 	 78 	 895
37 	 78 	 895
38 	 78 	 895
39 	 78 	 899
40 	 78 	 899
41 	 78 	 899
42 	 78 	 905
43 	 78 	 905
44 	 78 	 905
45 	 78 	 905
46 	 78 	 910
47 	 78 	 910
48 	 78 	 910
49 	 78 	 910
50 	 78 	 914
51 	 78 	 914
52 	 78 	 914
53 	 78 	 914
54 	 78 	 914
55 	 78 	 914
56 	 78 	 920
57 	 78 	 920
58 	 78 	 920
59 	 78 	 920
60 	 78 	 920
61 	 78 	 920
62 	 78 	 920
63 	 78 	 924
64 	 78 	 924
65 	 78 	 924
66 	 78 	 924
67 	 78 	 924
68 	 78 	 924
69 	 78 	 924
70 	 78 	 924
71 	 78 	 924
72 	 78 	 930
73 	 78 	 930
74 	 78 	 930
75 	 78 	 930
76 	 78 	 930
10 	 79 	 715
11 	 79 	 735
12 	 79 	 754
13 	 79 	 770
14 	 79 	 785
15 	 79 	 795
16 	 79 	 805
17 	 79 	 814
18 	 79 	 824
19 	 79 	 830
20 	 79 	 840
21 	 79 	 844
22 	 79 	 850
23 	 79 	 854
24 	 79 	 860
25 	 79 	 864
26 	 79 	 864
27 	 79 	 870
28 	 79 	 874
29 	 79 	 874
30 	 79 	 879
31 	 79 	 879
32 	 79 	 885
33 	 79 	 885
34 	 79 	 889
35 	 79 	 889
36 	 79 	 895
37 	 79 	 895
38 	 79 	 895
39 	 79 	 899
40 	 79 	 899
41 	 79 	 899
42 	 79 	 905
43 	 79 	 905
44 	 79 	 905
45 	 79 	 905
46 	 79 	 910
47 	 79 	 910
48 	 79 	 910
49 	 79 	 910
50 	 79 	 914
51 	 79 	 914
52 	 79 	 914
53 	 79 	 914
54 	 79 	 914
55 	 79 	 914
56 	 79 	 920
57 	 79 	 920
58 	 79 	 920
59 	 79 	 920
60 	 79 	 920
61 	 79 	 920
62 	 79 	 920
63 	 79 	 924
64 	 79 	 924
65 	 79 	 924
66 	 79 	 924
67 	 79 	 924
68 	 79 	 924
69 	 79 	 924
70 	 79 	 924
71 	 79 	 924
72 	 79 	 930
73 	 79 	 930
74 	 79 	 930
75 	 79 	 930
76 	 79 	 930
77 	 79 	 930
10 	 80 	 715
11 	 80 	 735
12 	 80 	 754
13 	 80 	 770
14 	 80 	 785
15 	 80 	 795
16 	 80 	 805
17 	 80 	 814
18 	 80 	 824
19 	 80 	 830
20 	 80 	 840
21 	 80 	 844
22 	 80 	 850
23 	 80 	 854
24 	 80 	 860
25 	 80 	 864
26 	 80 	 864
27 	 80 	 870
28 	 80 	 874
29 	 80 	 874
30 	 80 	 879
31 	 80 	 879
32 	 80 	 885
33 	 80 	 885
34 	 80 	 889
35 	 80 	 889
36 	 80 	 895
37 	 80 	 895
38 	 80 	 895
39 	 80 	 899
40 	 80 	 899
41 	 80 	 899
42 	 80 	 905
43 	 80 	 905
44 	 80 	 905
45 	 80 	 905
46 	 80 	 910
47 	 80 	 910
48 	 80 	 910
49 	 80 	 910
50 	 80 	 914
51 	 80 	 914
52 	 80 	 914
53 	 80 	 914
54 	 80 	 914
55 	 80 	 914
56 	 80 	 920
57 	 80 	 920
58 	 80 	 920
59 	 80 	 920
60 	 80 	 920
61 	 80 	 920
62 	 80 	 920
63 	 80 	 924
64 	 80 	 924
65 	 80 	 924
66 	 80 	 924
67 	 80 	 924
68 	 80 	 924
69 	 80 	 924
70 	 80 	 924
71 	 80 	 924
72 	 80 	 930
73 	 80 	 930
74 	 80 	 930
75 	 80 	 930
76 	 80 	 930
77 	 80 	 930
78 	 80 	 930
10 	 81 	 715
11 	 81 	 735
12 	 81 	 754
13 	 81 	 770
14 	 81 	 785
15 	 81 	 795
16 	 81 	 805
17 	 81 	 814
18 	 81 	 824
19 	 81 	 830
20 	 81 	 840
21 	 81 	 844
22 	 81 	 850
23 	 81 	 854
24 	 81 	 860
25 	 81 	 864
26 	 81 	 864
27 	 81 	 870
28 	 81 	 874
29 	 81 	 874
30 	 81 	 879
31 	 81 	 879
32 	 81 	 885
33 	 81 	 885
34 	 81 	 889
35 	 81 	 889
36 	 81 	 895
37 	 81 	 895
38 	 81 	 895
39 	 81 	 899
40 	 81 	 899
41 	 81 	 899
42 	 81 	 905
43 	 81 	 905
44 	 81 	 905
45 	 81 	 905
46 	 81 	 910
47 	 81 	 910
48 	 81 	 910
49 	 81 	 910
50 	 81 	 914
51 	 81 	 914
52 	 81 	 914
53 	 81 	 914
54 	 81 	 914
55 	 81 	 914
56 	 81 	 920
57 	 81 	 920
58 	 81 	 920
59 	 81 	 920
60 	 81 	 920
61 	 81 	 920
62 	 81 	 920
63 	 81 	 924
64 	 81 	 924
65 	 81 	 924
66 	 81 	 924
67 	 81 	 924
68 	 81 	 924
69 	 81 	 924
70 	 81 	 924
71 	 81 	 924
72 	 81 	 930
73 	 81 	 930
74 	 81 	 930
75 	 81 	 930
76 	 81 	 930
77 	 81 	 930
78 	 81 	 930
79 	 81 	 930
10 	 82 	 715
11 	 82 	 735
12 	 82 	 754
13 	 82 	 770
14 	 82 	 785
15 	 82 	 795
16 	 82 	 805
17 	 82 	 814
18 	 82 	 824
19 	 82 	 830
20 	 82 	 840
21 	 82 	 844
22 	 82 	 850
23 	 82 	 854
24 	 82 	 860
25 	 82 	 864
26 	 82 	 864
27 	 82 	 870
28 	 82 	 874
29 	 82 	 874
30 	 82 	 879
31 	 82 	 879
32 	 82 	 885
33 	 82 	 885
34 	 82 	 889
35 	 82 	 889
36 	 82 	 895
37 	 82 	 895
38 	 82 	 895
39 	 82 	 899
40 	 82 	 899
41 	 82 	 899
42 	 82 	 905
43 	 82 	 905
44 	 82 	 905
45 	 82 	 905
46 	 82 	 910
47 	 82 	 910
48 	 82 	 910
49 	 82 	 910
50 	 82 	 914
51 	 82 	 914
52 	 82 	 914
53 	 82 	 914
54 	 82 	 914
55 	 82 	 914
56 	 82 	 920
57 	 82 	 920
58 	 82 	 920
59 	 82 	 920
60 	 82 	 920
61 	 82 	 920
62 	 82 	 920
63 	 82 	 924
64 	 82 	 924
65 	 82 	 924
66 	 82 	 924
67 	 82 	 924
68 	 82 	 924
69 	 82 	 924
70 	 82 	 924
71 	 82 	 924
72 	 82 	 930
73 	 82 	 930
74 	 82 	 930
75 	 82 	 930
76 	 82 	 930
77 	 82 	 930
78 	 82 	 930
79 	 82 	 930
80 	 82 	 930
10 	 83 	 717
11 	 83 	 737
12 	 83 	 756
13 	 83 	 772
14 	 83 	 787
15 	 83 	 797
16 	 83 	 807
17 	 83 	 818
18 	 83 	 828
19 	 83 	 832
20 	 83 	 842
21 	 83 	 848
22 	 83 	 852
23 	 83 	 858
24 	 83 	 862
25 	 83 	 868
26 	 83 	 868
27 	 83 	 872
28 	 83 	 877
29 	 83 	 877
30 	 83 	 881
31 	 83 	 881
32 	 83 	 887
33 	 83 	 887
34 	 83 	 891
35 	 83 	 891
36 	 83 	 897
37 	 83 	 897
38 	 83 	 897
39 	 83 	 903
40 	 83 	 903
41 	 83 	 903
42 	 83 	 908
43 	 83 	 908
44 	 83 	 908
45 	 83 	 908
46 	 83 	 912
47 	 83 	 912
48 	 83 	 912
49 	 83 	 912
50 	 83 	 918
51 	 83 	 918
52 	 83 	 918
53 	 83 	 918
54 	 83 	 918
55 	 83 	 918
56 	 83 	 922
57 	 83 	 922
58 	 83 	 922
59 	 83 	 922
60 	 83 	 922
61 	 83 	 922
62 	 83 	 922
63 	 83 	 928
64 	 83 	 928
65 	 83 	 928
66 	 83 	 928
67 	 83 	 928
68 	 83 	 928
69 	 83 	 928
70 	 83 	 928
71 	 83 	 928
72 	 83 	 932
73 	 83 	 932
74 	 83 	 932
75 	 83 	 932
76 	 83 	 932
77 	 83 	 932
78 	 83 	 932
79 	 83 	 932
80 	 83 	 932
81 	 83 	 932
10 	 84 	 719
11 	 84 	 739
12 	 84 	 760
13 	 84 	 774
14 	 84 	 789
15 	 84 	 799
16 	 84 	 809
17 	 84 	 820
18 	 84 	 830
19 	 84 	 834
20 	 84 	 844
21 	 84 	 850
22 	 84 	 854
23 	 84 	 860
24 	 84 	 864
25 	 84 	 870
26 	 84 	 870
27 	 84 	 874
28 	 84 	 879
29 	 84 	 879
30 	 84 	 885
31 	 84 	 885
32 	 84 	 889
33 	 84 	 889
34 	 84 	 895
35 	 84 	 895
36 	 84 	 899
37 	 84 	 899
38 	 84 	 899
39 	 84 	 905
40 	 84 	 905
41 	 84 	 905
42 	 84 	 910
43 	 84 	 910
44 	 84 	 910
45 	 84 	 910
46 	 84 	 914
47 	 84 	 914
48 	 84 	 914
49 	 84 	 914
50 	 84 	 920
51 	 84 	 920
52 	 84 	 920
53 	 84 	 920
54 	 84 	 920
55 	 84 	 920
56 	 84 	 924
57 	 84 	 924
58 	 84 	 924
59 	 84 	 924
60 	 84 	 924
61 	 84 	 924
62 	 84 	 924
63 	 84 	 930
64 	 84 	 930
65 	 84 	 930
66 	 84 	 930
67 	 84 	 930
68 	 84 	 930
69 	 84 	 930
70 	 84 	 930
71 	 84 	 930
72 	 84 	 934
73 	 84 	 934
74 	 84 	 934
75 	 84 	 934
76 	 84 	 934
77 	 84 	 934
78 	 84 	 934
79 	 84 	 934
80 	 84 	 934
81 	 84 	 934
82 	 84 	 934
10 	 85 	 719
11 	 85 	 739
12 	 85 	 760
13 	 85 	 774
14 	 85 	 789
15 	 85 	 799
16 	 85 	 809
17 	 85 	 820
18 	 85 	 830
19 	 85 	 834
20 	 85 	 844
21 	 85 	 850
22 	 85 	 854
23 	 85 	 860
24 	 85 	 864
25 	 85 	 870
26 	 85 	 870
27 	 85 	 874
28 	 85 	 879
29 	 85 	 879
30 	 85 	 885
31 	 85 	 885
32 	 85 	 889
33 	 85 	 889
34 	 85 	 895
35 	 85 	 895
36 	 85 	 899
37 	 85 	 899
38 	 85 	 899
39 	 85 	 905
40 	 85 	 905
41 	 85 	 905
42 	 85 	 910
43 	 85 	 910
44 	 85 	 910
45 	 85 	 910
46 	 85 	 914
47 	 85 	 914
48 	 85 	 914
49 	 85 	 914
50 	 85 	 920
51 	 85 	 920
52 	 85 	 920
53 	 85 	 920
54 	 85 	 920
55 	 85 	 920
56 	 85 	 924
57 	 85 	 924
58 	 85 	 924
59 	 85 	 924
60 	 85 	 924
61 	 85 	 924
62 	 85 	 924
63 	 85 	 930
64 	 85 	 930
65 	 85 	 930
66 	 85 	 930
67 	 85 	 930
68 	 85 	 930
69 	 85 	 930
70 	 85 	 930
71 	 85 	 930
72 	 85 	 934
73 	 85 	 934
74 	 85 	 934
75 	 85 	 934
76 	 85 	 934
77 	 85 	 934
78 	 85 	 934
79 	 85 	 934
80 	 85 	 934
81 	 85 	 934
