-------------------------------
T_j^H 	 T_j^L 	 CC_i'
10 	 35 	 674
11 	 35 	 695
12 	 35 	 715
13 	 35 	 729
14 	 35 	 745
15 	 35 	 754
16 	 35 	 764
17 	 35 	 774
18 	 35 	 785
19 	 35 	 789
20 	 35 	 799
21 	 35 	 805
22 	 35 	 809
23 	 35 	 814
24 	 35 	 820
25 	 35 	 824
26 	 35 	 824
27 	 35 	 830
28 	 35 	 834
29 	 35 	 834
30 	 35 	 840
31 	 35 	 840
32 	 35 	 844
33 	 35 	 844
10 	 36 	 680
11 	 36 	 699
12 	 36 	 719
13 	 36 	 735
14 	 36 	 749
15 	 36 	 760
16 	 36 	 770
17 	 36 	 780
18 	 36 	 789
19 	 36 	 795
20 	 36 	 805
21 	 36 	 809
22 	 36 	 814
23 	 36 	 820
24 	 36 	 824
25 	 36 	 830
26 	 36 	 830
27 	 36 	 834
28 	 36 	 840
29 	 36 	 840
30 	 36 	 844
31 	 36 	 844
32 	 36 	 850
33 	 36 	 850
34 	 36 	 854
10 	 37 	 680
11 	 37 	 699
12 	 37 	 719
13 	 37 	 735
14 	 37 	 749
15 	 37 	 760
16 	 37 	 770
17 	 37 	 780
18 	 37 	 789
19 	 37 	 795
20 	 37 	 805
21 	 37 	 809
22 	 37 	 814
23 	 37 	 820
24 	 37 	 824
25 	 37 	 830
26 	 37 	 830
27 	 37 	 834
28 	 37 	 840
29 	 37 	 840
30 	 37 	 844
31 	 37 	 844
32 	 37 	 850
33 	 37 	 850
34 	 37 	 854
35 	 37 	 854
10 	 38 	 680
11 	 38 	 699
12 	 38 	 719
13 	 38 	 735
14 	 38 	 749
15 	 38 	 760
16 	 38 	 770
17 	 38 	 780
18 	 38 	 789
19 	 38 	 795
20 	 38 	 805
21 	 38 	 809
22 	 38 	 814
23 	 38 	 820
24 	 38 	 824
25 	 38 	 830
26 	 38 	 830
27 	 38 	 834
28 	 38 	 840
29 	 38 	 840
30 	 38 	 844
31 	 38 	 844
32 	 38 	 850
33 	 38 	 850
34 	 38 	 854
35 	 38 	 854
36 	 38 	 860
10 	 39 	 684
11 	 39 	 705
12 	 39 	 725
13 	 39 	 739
14 	 39 	 754
15 	 39 	 764
16 	 39 	 774
17 	 39 	 785
18 	 39 	 795
19 	 39 	 799
20 	 39 	 809
21 	 39 	 814
22 	 39 	 820
23 	 39 	 824
24 	 39 	 830
25 	 39 	 834
26 	 39 	 834
27 	 39 	 840
28 	 39 	 844
29 	 39 	 844
30 	 39 	 850
31 	 39 	 850
32 	 39 	 854
33 	 39 	 854
34 	 39 	 860
35 	 39 	 860
36 	 39 	 864
37 	 39 	 864
10 	 40 	 684
11 	 40 	 705
12 	 40 	 725
13 	 40 	 739
14 	 40 	 754
15 	 40 	 764
16 	 40 	 774
17 	 40 	 785
18 	 40 	 795
19 	 40 	 799
20 	 40 	 809
21 	 40 	 814
22 	 40 	 820
23 	 40 	 824
24 	 40 	 830
25 	 40 	 834
26 	 40 	 834
27 	 40 	 840
28 	 40 	 844
29 	 40 	 844
30 	 40 	 850
31 	 40 	 850
32 	 40 	 854
33 	 40 	 854
34 	 40 	 860
35 	 40 	 860
36 	 40 	 864
37 	 40 	 864
38 	 40 	 864
10 	 41 	 684
11 	 41 	 705
12 	 41 	 725
13 	 41 	 739
14 	 41 	 754
15 	 41 	 764
16 	 41 	 774
17 	 41 	 785
18 	 41 	 795
19 	 41 	 799
20 	 41 	 809
21 	 41 	 814
22 	 41 	 820
23 	 41 	 824
24 	 41 	 830
